Review_Header,Review_Detail
The dogs balked at the previous dry food. They eat this kind.,"I used to think all dogs were always hungry and would always eat. My current pack is nothing like that. I switch around with both wet and dry dog food, as well as whether the pack gets dry in the morning, wet for dinner, or vice versa, sometimes the same thing both times. And snacks. Lots of snacks. I try to keep them from getting bored while also developing a familiarity, two obviously contradictory goals. They generally stop eating any kind of dry food I've given them, from Purina to Nutra Nugget, after a while. This one, Blue Buffalo, they'll still turn up their nose to, if they can weasel their way into getting me to make them burgers or salmon or chicken (their favorite.) Instead of picking through their bowls for the meat and leaving the dry food to sit until later (just before bed), they'll eat this too. I don't have high expectations, so having them eat what I give them, when I give it to them, counts as a win for me."
Our dogs love it,Our boxer and mixed German Sheppard love the food and haven't had any issues. We will continue to order.
Exactly what I wanted!!,"Great healthy dog food, normal price point, fast delivery!"
Great quality,Fast shipping and great quality as always
Quality food,Price was high but quality is good
My dogs seem to love it,"My Rottie was having skin issues, since I’ve put him on Blue Buffalo, the problem has cleared! I honestly think it was something in the other dog foods he was allergic to."
Dog loves the flavor.,"I was looking for a new dog food for my dog. Came across this, and she loves it"
7 Dogs love it,My dogs love the flavor and texture.  Also good for their teeth
dog loves this food her coat is a lot softer,she loves this food and her energy is a little more than before. Thanks for being on prime!!
Great Product and very good price.,"Search a lot of other foods and for the size and quality, this is the one I need for my dog."
my dog loves this food,This is very high quality dog food that my dog loves.
Happy with this for my dog,We're happy with this dog food. My dog seems to like it.
Good product.WAY OVERPRICED,"Too costly. I like the product for my pets, but it can't be returned so try to find a local vendor."
No more scratching,"We have at least one dog that is allergic to poultry.  This is far cheaper than buying  it at Publix, plus the dogs are no longer scratching and in misery.  So much easier to have it delivered than for my disabled son to try and hoist it out of the trunk once we are home."
Not suitable for picky eaters,"My dogs typically aren’t picky and they were very finicky with this food. They barely at any of it. I decided to order another flavor. Hopefully they like the beef flavor. HOWEVER, my cat would not stay away from this dog food. We had to pick up the bowls so he would not eat it."
Nice small easily digested nuggets.,Dog ate this first time I  fed  her this  new dogfood. Also enjoyed when mixed with canned food.
Blue Buffalo Dry Dog Food,My two large dogs have always done well with BB dog food. They've been eating it since they were pups. I received a big bag of dry Lamb & rice food rvery 2 weeks. The food has always been good quality with high protein & low fat.I recommend.
My dogs love this,"I was looking for something healthier to feed my dogs and they seem to love this.  My only complaint is the price, I wish it were cheaper."
Blue buffalo food,This is the only food we use for our fur babies.
Better ingredients than prior dog food,"One of our dogs has allergies and weight issues.  So far, this food is helping.  We want to get him to a healthy weight, but also not make his skin allergies worse."
good stuff,;good stuff
Dogs have been sick for a week,"I agree with another reviewer. My 2 dogs have been eaten this food for a long time. However, during the past week and a half, both have been showing signs of not feeling well. I suspected the food. Then last night, one of the dogs had a major attack of diarhea on the kitchen floor (yeah, smart dog). I'm going to toss mine too and head over to the local source. It might be the heat causing the food to go bad. I just thought others should know about this too."
Will stick with B. B.,Tried the Amazon brand food bc I am cheap. It really messed with my dog's gut. They all were gassy and stinky. Bought Blue Buffalo afterwards and hoped the splurge would fix the problem. It did! I am so glad. I won't stray again.
great for picky dogs (at least for both of mine),"This food works great for both my dogs. I will write out a description of their dog food history and health history to see if this food works for you!First dog, 4 years old german shepherd mix rescue:- she has many allergies (but no food allergies) and this is one of the only foods that does not make her itch- her ""business"" is always regular and she never direaha (she used to on Kirkland food)- her coat is healthy- affordable for the ingredients / quality- she is very picky for other foods (wont accept it as treat, will only eat once a day), but with this, she is always hungry for itSecond dog, 1 year old corgi:- used to buy Arcana for him thinking that he would love it, but he got tired of it and I switched him to her food. He loves this food so much more.- his ""business"" is always regular- no issues at all since he switched to this foodoverall, i would say try it out to see if your pet likes it! both of mine love it"
"Dog loves it, shipping frequently a mess!","The dog loves it, he’s an English Bulldog and their tummy’s can be sensitive but this works for him.  The issue is USPS delivers this package (for some reason) and it arrives damaged on a regular basis.  Frequently (more then 3 times or I wouldn’t bother writing this) the box is broken, ripped, and damaged.  Amazon customer service responds quickly to remedy the issue.  However, it’s easily fixed with just some attention to detail on the Post Office delivery people."
Power to change!,"Bears had just fought 2 cancers and was in horrible shape I decided to switch to this when he got CHUSINGS DIEASE dianagosis right 2 months after his last cancer surgery. His skin was in terrible shape, he was getting cysts, clogged pores, major hair loss especially. And oh! The weight gain..in five months he put on almost 15 pnds topping off at 123, he's normally around 103-108. After just 3 months it's really incredible he's long beautiful coat is coming back in that I loved so much, he's energetic agin and down 15 pounds ..moving to 5 acres helped and praise all that's holy no more nasty cysts! I'm so happy to say their is a DOG FOOD that's NUTRITIOUS AND GOOD for OUR DOGS AND THIS IS ONE OF THEM..Iam paying about 18 dollars  more each month but to keep my best friend by my side is so WORTH IT!"
My dog is sick,"My dog is 12 years old and he has been on blue buffalo for 11 years. I have the chicken and rice on subscription for years. The bag I received on Oct 12 I started feeding my dog about a week later and he started getting diarrhea and upset stomach, I cooked him food for a week and after slowly reintroducing him back to this food (wasn’t sure it was the food that caused it) he was sick again."
The taste and quanity.pitbull,Everything was great.
My dog loves it,We ended up with a subscription for it because our little dog loves it and it's so convenient!
good quality food for the pet,"My dog eats a different brand. however, it was not available. when I put it in the dog bowl he gobbled it up and wanted more. So I guess it tastes good. He loves it"
Best dog food,"I've been feeding this to my dogs for many years, so I thought I'd finally write a review.  This is the only dog food I've found that every dog I've ever had loves to eat.  I prefer feeding my dogs food with good ingredients, and this fits the bill.  Is it expensive?  Yep, but my guys are worth it."
Great,My dog loves this food.  She seems healthier and happier than when I was giving her another brand
Dog is happy,Have been using Blue Buffalo for years now. We have one of the laziest dog so this formula is perfect for a dog that refuses to move.
Moldy batch,Beware - I’ve been ordering from here for heard (i have the subscription) and we opened our new bag today and it was moldy and wet. :( Had to run to the store to get a replacement so my pups could eat.
Great product,My dog loves it
Easy on pets stomachs,My boxers have very sensitive tummys and Blue Buffalo keeps then feeling like champs.
Ace is my grand pup and he love is Blue Buffalo,Ace is my grand pup and he love is Blue Buffalo
Dogs Ate It BUT..,Our dogs left the little round pieces all over the floor. They loved the bigger pieces so I think the rice is the little round balls and our two picky eaters want only the meat. Other two dogs ate it all and cleaned up after the two picky eaters.
"Great, but our two wire haired fox terriers prefer the Blue Jolly Joints.","Great, but our two wire haired fox terriers prefer the Blue Jolly Joints."
River doesn't like the round pieces.,"My dog is NOT a picky eater, but she leaves the little round pieces all around her bowl.  I'm not sure what makes them different than the larger pieces but she won't eat them!I'm wasting half of the dog food.  I won't buy it again.I do think it's funny that she can spit the round ones out of her mouth.  I've never seen her do that before.I will be sticking with Solid Gold."
Packaging for the bags rips easily,"Ripped packaging, which means it could have been sitting on a shelf for quite a while with a rip before arriving here for the dog. Makes you question the freshness or safety of the food. Had to refund. 3 stars because i got a refund, otherwise it would be 1 star"
My Dog eats it,"Dog food, dogs eat it and don't starve"
Good stuff,Good stuff
Why the exceptionally large / unaffordable price increase?,"I needed to purchase a high quality, healthy, weight maintenance dog food for our * year old Lab mix Daisy. She has ballooned to 116 pounds in June since I am no longer able to take her for long walks. With the weight gain she has become lethargic, sleeping all hours even during the day and has become uninterested in playing with any of her toys. In addition to her not getting enough exercise she is acting very depressed and I can relate it to first the loss of mybeloved Australian Sheppard ""Dito"" 6 months ago and 2 weeks later the death of my wonderful husband in May from COVID.  We all need to exercise and eat our way back to health. I talked to my vet and did my own research and found the Blue Buffalo Healthy Weight Life protection formula. The cost was out of my reach in our local grocery store so I checked here on Amazon. On August 1st I bought a 30 lb bag of the chicken and brown rice formula for $35.53. Daisy did not complain at all as I started to mix it gradually into her food. Feeding her 2 cups twice daily she started to lose weight without begging for scraps or treats so I assume she was satisfied. A visit in September to the vet had a weigh in of 101 pounds. Amazing. She was able to jump up on the bed, looking to play tug with her giant rope and had a little spirit again. The vet wants her at 80 pounds so we intend to keep her on this food. Due to the mixing with daisy's old food for the first 14 day, that bag lasted 7 weeks. I purchased another 30 lb bag on September 20 for $34.26. I was checking prices on Prime Day for many of the deals and decided to buy another bag before I ran out and was shocked to find the price ""Starting at $54.88"" for the same 30 lb bag and not available as prime. That is a $20.00 increase!! Why?? I will find it very difficult to spend that much and I do not want to switch her food when she is doing so well now. I hope this increase is temporary...please."
My dog enjoyed this,Thor really liked this food and gobbled it up at his mealtime!
Dogs are happy!,Good product dogs are very healthy
Great size for 30 pound dogs and under.,The small adult bites helps my small dog chew through them. She likes to mow through her food so I had worries of her chocking or getting sick from the fast consumption. These small bites are just enough for her and I'm less worried for her chocking :)
Great Food For My Loving Pet,Love the value and price. Within my budget.
My dog loves it!,"While I couldn’t bring myself to taste test it, my dog has and absolutely loves it. It seems to be his favorite dry food and has a good mix of higher quality ingredients.My dog gives it two paws up!"
Met Satisfaction,Used with mix dog has been used to.  She slightly prefers the older but eats both.  Am ordering more.
great value,great value
my dogs loved,i like the facts is not belly issues with my dogsi use this product for almost 15 years or more i have chow chow breeds for all this time and this is the best for the money.totally worthedrudystay strong
Puppy liked it,Good size lasted about 3 months
My dogs love the food,My dogs live the food and they are healthy.
Like the 38pd size!!!,My standard poodle loves her food!!!!
Dogs love it,My dog was throwing up and having tummy issues before so i decided to take the plunge financially and try Blue and my dog has had no more issues!!!! They love it! I would have given it 5 stars but this bag came very crushed with a lot of powder instead of the bits.They send reward points in the bag and those are fun to get and use to get free things for the pups!!
Dog is happy,"My dog gets lots of energy from this food. The only thing I don’t like about this dog food is the bag it comes in. No matter from where I order this product, the bag ends up being busted in the box, with food spilling out. The quality of the bag - isn’t strong enough to carry the weight."
Dogs love it,Great food
Best Dog Food!,"I had my 10lb chihuahua on Hills Science Diet Lamb and Rice and a vitamin supplement. She would not eat all her food or even not at all. Her coat would be drab and she itched all the time from dry skin even after adding vitamin supplements. I decided to try Blue Buffalo Chicken and Rice. Not only was it the same cost as I was paying for Hills it weighed a pound more. My dog absolutely loves it. Plus, I do not have to give her whole cup of food and baked chicken to fill her up when she would even eat the dry food. She always managed to eat the baked chicken though.I now give her the recommended amount of 1/4-1cup. I give her 1/4 dry and mix some baked chicken with the Blue Buffalo and she eats all of it up all of the time. No left overs. Her coat and skin is not as dry like before and I was able to stop adding vitamin supplements saving me money. My dog was transformed within 3 weeks to 1 month. I highly recommend this product."
My dog loves it,My dog has been eating it for a few years now
My dog LOVES it!,My dog absolutely loves this product and flavor! It's worth the money. And that big bag will last me about a month and a half!
He eats it and loves it!,To feed my dog?!
Not my dog's favorite,"I usually buy the chicken flavor but saw the beef and thought ""hey, why not"". Well, Nina Simone Biles did not appreciate the switch and ate it very sparingly. Eventually I bought a bag of the chicken flavor and mixed the two flavors together."
Amazing!,"I have a GSD and he used to shed like crazy. Since changing To this food, his skin is better and his shedding has decreased substantially. I also love that Amazon ships this for me on a regular schedule without me having to go in and purchase it every time. You can also change the frequency in which it’s sent. Life changing on both parts."
All of my pets are fed Blue Buffalo,I like the quality but the prices are getting too high.
Great product,Dogs eat all of it...no waste.
Great buy,My dog love it
My dog could not wait for me to get the bag open!,"I have to say I was pleasantly surprised, my dog could not wait for me to get the bag open & pour him a bowl! I hope it’s as good for him as they say."
Dog food,I have been buying it once a month for over 4 year's.Yes my dog likes it and it meets our needs.Do you really need to ask me every month for a review?
Dogs Enjoyed This!,The dogs seemed to enjoy this more than their regular brand. It's more expensive so I will purchase when I can but it seems worth the price.
Nutritional information,"I've never been able to afford Blue for my babies. But my circumstances have changed and I have tried Blue and they love it. In only a week I can see an improvement in their vitality and overall health.  This ain't no commercial,  but I'll never switch again. Even if I have to go without!"
Great product,"This product is the ""bumper diggidy"" . My pet loves it ."
Flawless transition from previous food.,My 5 year old pup didn't blink an eye at the change. She gobbles it right down and has maintained healthy bowel habits.
Best for our dog,It the best food for our dog the ingredients our great also it he likes it
Blue Buffalo is our favorite,My pup really enjoys this brand. It doesn’t harm her tummy and she has not had any bouts of tummy irritation since we began feeding her it.
Great product,"Claire, my Italian Greyhound loves this food and if she could eat the entire bag she would"
Buffalo for the win,I started my lab on Buffalo back when he started having digestive issues. And have never switched and never will. Their health = my happiness 😀
Delicious for my dog,"My dog loves it!  She gobbles it down so fast, I figured it must be some good food."
Dogs enjoy!,We had to switch from Iams due to Iams causing one of the dogs to be excessively gassy.  Blue Buffalo seems to be more gentle on their stomach.  Vet recommended this brand.  So far so good.  We do have it set up on automatic shipment which is a nice convenience.
Nutrition,My dogs love it and it is healthy for them.  Keeps their bowels regular
"Can't Vouch for the Flavor, Tippy Don't Talk!  But What's with the ""Healthy HOLISTIC"" Label??? !","To know how this tastes, we'd need a talking dog.Will someone esplaine the ""Healthy and HOLISTIC"" printing on the top front of the bag?I looked, but couldn't find any holes.  Looks like it was translated in a far off place.Surprising, for pet food that wasn't purchased because it was inexpensive..."
Helped eliminate Aussie's skin issues!,"Our 7 year old Australian Shepherd was having very severe skin issues.  Our vet couldn't find the cause and suggested to switch foods.  We'd been feeding Merrick & Merrick's cheaper brand Whole Earth Farms for years, never thinking it was the food since his potty time was always fine & other than the skin issues he was in great health.  Being so sick & tired of his poor skin problems I gave Blue Buffalo a shot & I gave it several bags before I made a decision as to if it was helping at all or doing nothing.  I figured the food would probably have nothing to do with any of the skin issues and was just taking a shot in the dark picking Blue Buffalo.  I was absolutely shocked that his skin issues are totally 100% gone now - all cleared up & 100% healed!  Now I do want to be super clear here & state that I honestly believe it was the removal of his old food that was what caused this amazing improvement, not the addition of Blue Buffalo.  Hope that makes sense!I mean that, I think any other good quality food would have very likely caused improvement in his skin issues.  I just happened to choose Blue Buffalo & it just happened to work great for us!  It's good quality nutrition, our Aussie seems to like the taste, it's always available here on Amazon & if for some reason I don't want the Chicken & Rice at any point there are plenty other varieties to choose from.  I really love when pet food companies have various kinds & flavors so we can keep our dog's digestive system regular & give him some variety to keep him excited about food!  We can switch between any of the varieties without any fuss because most of them have very similar ingredients. The biggest positive I can report is, we didn't transition him at all from his old food to Blue Buffalo.  So we were expecting some not-so-great potty results.  Nope!  All went smooth & no changes in his digestive system!  We have ALWAYS had major trouble if we didn't switch him slowly, so I was really surprised nothing happened negatively & his food transition went as easy as pie!  I personally as of now highly recommend Blue Buffalo!"
Dog food rocks. Shipping sucks.,Our dogs love blue diamond. We’ve tried different brands and always come back to this. I wish they didn’t use USPS to ship. They won’t ship oversized packages and you have to go to the USPS office to pick it up. Defeats the whole purpose of Amazon!!
"I like the food, sadly, my dog doesn't :(","I read a lot about this food prior to making my purchase. My dog recently suffered from life-threatening bloat...amazingly she survived :) To reduce the chances of future bloat I am now feeding her 4-5 times a day instead of only once. After researching, I found that a food high in protein and low in carbs/corn type grains was healthier and possibly less likely to cause bloat (there is very little known as to the causes of bloat so most information is just theoretical...no definitive findings). Well, I was happy to find that Blue Buffalo foods seemed to be tailored to exactly what I was in search of! In addition, my dog suffers from allergies and I had been supplementing her with Alaskan Salmon Oil for added Omega-3 and Omega-6. After reading about the Blue Buffalo Fish & Sweet Potato food I saw that it offered the additional Omega's and that if she was to eat it I would no longer need to do the separate supplement. Everything sounded wonderful! I placed my order and it arrived promptly. I tried getting her to eat the food for about a week or two before I decided it was a no go :( I tried mixing it with hot water for gravy...still, she never did take to it. She is typically a very accepting dog when new foods are introduced...however, with this food she was not. I wasn't bothered by the smell as were some other reviewers, but I'm not surprised by that since I had become accustomed to the salmon oil smell already. All in all, I do wish she had taken to the Blue Buffalo brand foods as I really like the approach they take with the ingredients and preparation methods. I tried her on the Lamb flavor too but she refused that as well. Although my experience with Blue Buffalo brand turned out to be one that wouldn't work, I would still recommend giving it a try for your pampered pup. It is a great food! Great ingredients! And made in the U.S.A. which is a definite plus! If you have the same problem that I did, the company offers a 30-day money guarantee through whatever retailer you buy from...IT'S WORTH A TRY FOR SURE!!! If you visit their website and fill in a short form they will snail-mail you a $5.00 off any size bag coupon :)"
Very satisfied little customer!,The dog enjoys this brand.  I cannot give him any other!  I tried others and he always loves this one.  I give this an A+++ from my dog!
Healthier Food for your dog,"My dogs like this Food. They eat it and their stool comes out solid. They're happy, I'm happy."
Blue buffalo dog food,My little ones love this food. It is perfect size if bites for small dogs. My dog never had any stomach problems  after it. Highly recommended.
Picky,My dog refuses to eat the little brown pieces. I have no clue why.
Bag sliced open,                    The media could not be loaded.
Good quality food for my boxer,                
My dog loves buffalo blue food," The dog food bag was sliced on one area of the bag, with dog food scattered in the box, giving us less than what we usually get for a 15lb bag. More like have a bag."
Blue Buffalo Dog Food,"Our boxer is a pretty picky eater. She has been having problems keeping weight on, so I was trying different foods. She loves this blue buffalo blend, so we have been feeding it to her for about 6 months. I won’t lie it is little pricy for dry food but my dogs are member of the family and deserve quality! She has regained some weight she had lost and just overall happier. That is what is important! I saw I could do auto delivery on Amazon so I tried it out. It is working out great and makes things very simple. I recommend it for the little extra discount and connivence"
My fur baby cleans the bowl,"She loves the beef and chicken, I also put the dry food in it Also."
Dog went straight for it.,My dogs love this food. Bonus that it is affordable
I Just Rated this Dog Food as Tasting Good,"My basset hound can be very particular when it comes to dry dog food.  Usually, she'll start at eating it, but then gets bored and I end up trying to doctor it up, so she eats it.  With Blue Buffalo, so far, she doesn't even hesitate when I put it in her bowl.  She's on her second bag, so fingers crossed."
Blue Buffalo is the best for your kids 🦮  🐾  also helps with their allergies,"My dog is certainly picky. She will eat dry food only when nothing else is around. That includes Iams and all the other preferable brands.Shipment arrived, poured into bowl and she did not hesitate. Very happy with purchase."
HEALTHY INGREDIENTS!,"Look - from what I can tell - this is good dog food - it’s a little expensive, but it’s supposedly to be a premium dog food - and there certainly are premium dog foods that cost more.I did lie a little in this review - as Amazon asked me how the flavor of this dog food was - I said it tasted good - but I really don’t know that - I didn’t actually eat it myself. My dog seems to like it - but lately he’s not speaking to me - so I can’t be sure! Dogs actually only have about 1/6th of human tastebuds - so, there’s a possibility it tastes like crap - but dogs don’t really know any better!"
"I Like The Poop, My Dogs Like The Food","I HAVE A GOLDENDUDDLE , AN ABUSED RESCUE PITBULL, AN 2 COCKER SPANIELS  “ CANDY AND SHILO “ THEY LOVE LAMB AND BROWN RICE ( BLUE BUFFALO)  THEY BEEN EATING THIS FOOD FOR YEARS . THEY ARE VERY HEALTHY THE ONLY PROBLEM I HAVE IS CANDY’S ALLERGIES BUT IS A TREATMENT THAT SHE HAS AND PART OF IT IS THE FOOD TOO. BLUE BUFFALO FOR THEM IS THE BEST BECAUSE I TRY OTHERS AND WOULDN’T EAT IT . I RECOMMEND BLUE BUFFALO LAMB AND BROWN RICE 100%"
Late but worth the wait,Both of my dogs love it and are thriving on this dog food!!!
My dog liked it for two days,"I switched to Blue Buffalo on a recommendation from my mother who has had bulldogs for years.  I had been using Iams Weight Control for my two Cocker Spaniels.  I gradually transitioned from the Iams to BB.  As the transition progressed, my dogs appeared to be more hungry at each feeding.  As it turned out, I think that they were just starting to enjoy their food for the first time in their short little lives. Sad, really.  But how can a person tell if a dog food actually tastes good?  If I were to pick a dog food based on what I THINK might taste good, I would be feeding my dogs Beneful dog food (their commercials make ME hungry).  In any case, they seem to love BB.  So that's the review from the dog's point of view.As for how this change in dog food has impacted MY life.  I live on a half acre and my two cockers can really spread wealth, if you know what I mean.  I really like to keep the lawn ""bomb free"" so my kids and I pick-up the lawn often.  When the dogs were eating Iams, the ""surprises"" that they would create would lay softly beneath the top blades of grass, just waiting for someone to come step on them.  It was too often an ugly situation that I will not describe here.  Since we have been feeding the dogs BB, those ""duce-balls"" now sit lightly upon the TOP of the grass.  They are light, easy to see and very firm (Eauwwwww!) As a result, pick-up is quicker and the lawn is cleaner.I suggest you give this food a try, but be cautious.  Based on some reviews, BB has had some quality problems in the past.  Nobody wants to lose their animal due to negligence on the part of a dog food company.  As with any change in your dog's diet, monitor closely.  Even if a food is safe and healthy, not all foods agree with all animals.  So remember, be cautious, we all want the best for man's best friend."
"Switched to a different type of food, but not mad at this one.",Awesome food. Fills my dogs up. It's like medicine... Very impressed.
Good dog food,Way too expensive.
Good,"So, my dog was fine eating this. He started on the puppy formula and progressed to adult formula. His poop was a little yellow and sometimes loose, so I switched him the BB's Limited Ingredient recipe that had lamb to see if that had an effect. I think chicken just isn't something his body handles in larger quantities (treats with chicken do not seem to impact him much), but that isn't the food's fault. Transferring to lamb basically instantly work for him. So, before you blame the brand, give either another protein a shot or try their grain-free or limited options. I try to keep my dog and a fairly monitored diet and preferred limited ingredient items. I did order this using Prime and as a one-time purchase. I do not advise buying food related items from a third party seller, but I have never had an issue with Prime items. The package arrive undamaged and no bug issues. Just make sure you check the bag and expiration before use because if food is exposed or outdated then of course you will see negative side effects. We keep this food in a storage tub in a room not exposed to sunlight, if that matters."
My girl loves it!,Our dogs love Blue Buffalo so I thought I would sign up for the auto delivery.  The first bag we received had a big cut in the side so not sure how fresh the product actually is.  Hopefully future bags are not cut open.
Perfect for our adult dog,Good
Wonderful foid,"My 6 month puppy loves everything about this product.  Digested well, poops without difficulty."
Subscribe!!,"We wanted something with natural ingredients, some thing that would not upset the stomach of our black lab/border collie mix adult dog. She is 11 years old. She is susceptible to digestive issues.Now all we feed her is Blue Mountain dog food, and it’s perfect. Unless she gets into something she shouldn’t be eating, she has absolutely no digestive issues at all. Very happy with the product."
Gooooodddddd,If your pets allergic to chicken this is a great alternative mine loves it.
"I just want a healthy dog, and this food helps with that.","I’ve waited 10+ 50lbs bags of chicken and brown rice dog food to review. This is definitely a great dog food option. My dogs get excited to eat this food every time I’m prepping it, plain!! Being a legit ingredients list is what drew me to it as an option for my dogs. (Switching food will cause some bathroom problems. My dogs went through it and are fine with the diet change now. Took a few weeks. They’re inside dogs and didn’t have any problems.)"
"Sadie is pretty picky about her food, but she eats this stuff up.","My dog love this flavor alot. I have a 4 years old pug and I try so many brand for him just wanna find a brand that he like and here we are. It smell good not like the other brands. He seem to eat more since I switched to this. Anyway, its so far so good. The shipment just came on time too"
"Have rescues, 12 & 8 years old. Both very healthy.","I’ve been feeding Jimmy Blue Buffalo since 10 weeks old. His coat is always shiny, no dandruff. I believe it’s well worth the price."
My precious baby loves it,"Kind of a strong odor when you first open the bag, but as long as she is happy and healthy, I'm okay with it."
My dog loves it!,Pricey but worth it.
My dogs love it,He is usually such a finicky eater but he chows this healthy food down. And it’s half the price of “designer “ dog food my vet recommends (and sells) and he actually eats it.
Been using product for several years.  Pets like it,We adopted our pittie girl a couple years ago and she couldn’t eat the brand of food our previous dog ate. I thought I’d try this and she loved it and still loves it! I can’t speak for ingredient quality exactly but it seems to be way better than the other brand.
"Good solid food for my picky eater, great ingredients, trust worthy. WITH grain.",My girl dog is super picky but she love it. And I'm happy I switch up flavors when I need to
Dog loves,Been using product for several years.  Pets like it
Great Dog Food,"I have used blue buffalo from the beginning. I have switched around a bit with the no grain, grain blah blah. I have come to the conclusion for my dog that grain is the way to go and thank goodness blue buffalo has a few options left, this being one. My border collie does great with this one. Reasonable price and easy to get."
Our dogs love it and more affordable than Hills,I have a Malshi who is 11 years old. Was told to try a healthier dog food because of skin issues. She is picky and wasn't a big fan of dry dog food until this brand. I gave 5 stars for the flavor because she likes it but I have not tried myself. :)
Dog food,"We've been buying Blue Buffalo for over a decade.  We switched from their Grain-Free version to the current Adult: Life Protection Formula after our vet conveyed that the community was concerned over specific health issues arising from major brand grain-free diets (not specifically Blue Buffalo), despite the causation being as yet unknown.  The dogs didn't seem to mind the change.We like the ingredient list, although we haven't personally chemically tested the food to confirm its accuracy.The freshness is apparent when you open the bag, and we've been buying for years and never gotten one that wasn't fresh.I cannot personally attest to the flavor.  The dogs do seem to like it, though they're picky little princesses so they prefer it mixed with a bit of chicken broth or a little wet food."
My dog loves it!,Weight management for older dogs. Dogs like it better than Hills. Certainly easier to find and considerably less expensive.
Delicious!,I usually buy Royal Cabin dry food geared especially for Golden retrievers. It became wildly expensive so I searched for the next best brand with a reasonable price. The dogs seem to love it. And it is so much more affordable.
So far so good!,I like everything about this dog food - since my dog likes it a lot and it's not full of artificial coloring - except the price.  It's just about doubled in a couple of years.  So I'm looking for a cheaper source....  But do highly recommend the product.
Changed seller Smaller bag More money,"My dog gobbles it up like it’s his last meal, and has for most of his life. While I can’t completely contribute it to the food, he’s 12 and still runs around like a puppy."
Both dogs like it!,No complains from the dog yet! 😉
My dog (and cat) loves it- but allergic,This was a good deal that I was going to subscribe to and the second order was $11 more and 8 lbs. lighter. So I guess I'm not getting any more on prime.
Great value,Both dogs like it. It's good quality
Kinda disappointed ☹️.,"The dog loves it, she kept trying to steal it while I was filling up/mixing with the old brand (Nutro) in her food storage container. I've also caught the cat stealing a couple pieces now and then during breakfast time! The stink is strong (meaty), probably why she loves it.***UPDATE my dog is apparently allergic to something in this. She's so itchy, eyes are watery and red, skin raw from rubbing. I feel so bad. We are transitioning to Inception dog food which after some research seems great for sensitive dogs."
good for dogs,When we ordered this came from Sams Club and was 38 pounds of food. What a bargain.
Your dog will luv it!,"After calling their headquarters, they told me that all their food bags have those brown bits, so I am disappointed 😞☹️.I have a small Yorkie who likes dry dog food.  But I am disappointed ☹️.  I called Blue company in Arizona and found out that many small breed dogs will take out the little brown bites of antioxidants and set them next to the bowl.  I was told to add warm water or broth, which didn't help.  I did like the fact that my dog's coat really improved.  Very shiny, so it is better than the store brand Ceasers that he was eating."
